PS D:\CS780\CS780-OBELIX-main\CS780-OBELIX-main> python train_d3qn_per.py --episodes 6000 --difficulty 2 --wall_obstacles --resume weights_d3qn.pth 
Device: cuda
Resumed from weights_d3qn.pth

Training D3QN-PER | episodes=6000 | walls=ON | difficulty=2
======================================================================
Ep    25/6000 | steps=   25000 | mean_r=  -5422.0 | success=  0.0% | loss=0.1287 | eps=0.498 | beta=0.403 | stuck=  22.2
  ✓ New best (ema_r=-5422.0) → weights_d3qn.pth
Ep    50/6000 | steps=   47873 | mean_r= -32148.0 | success= 12.0% | loss=0.1582 | eps=0.496 | beta=0.406 | stuck= 157.6
Ep    75/6000 | steps=   71319 | mean_r= -52554.5 | success= 16.0% | loss=0.1776 | eps=0.494 | beta=0.409 | stuck= 260.0
Ep   100/6000 | steps=   95948 | mean_r= -36826.0 | success=  4.0% | loss=0.1668 | eps=0.492 | beta=0.412 | stuck= 179.7
Ep   125/6000 | steps=  120948 | mean_r= -23779.0 | success=  0.0% | loss=0.1491 | eps=0.490 | beta=0.415 | stuck= 114.0
Ep   150/6000 | steps=  145948 | mean_r=  -9950.8 | success=  0.0% | loss=0.1368 | eps=0.488 | beta=0.418 | stuck=  44.9
Ep   175/6000 | steps=  170948 | mean_r= -10268.8 | success=  0.0% | loss=0.1323 | eps=0.486 | beta=0.421 | stuck=  46.5
Ep   200/6000 | steps=  195948 | mean_r=  -5844.8 | success=  0.0% | loss=0.1156 | eps=0.484 | beta=0.424 | stuck=  24.4
Ep   225/6000 | steps=  220948 | mean_r= -12906.0 | success=  0.0% | loss=0.1077 | eps=0.482 | beta=0.427 | stuck=  59.6
Ep   250/6000 | steps=  245948 | mean_r=  -8528.0 | success=  0.0% | loss=0.1039 | eps=0.480 | beta=0.430 | stuck=  37.8
Ep   275/6000 | steps=  270948 | mean_r= -10823.6 | success=  0.0% | loss=0.0968 | eps=0.478 | beta=0.433 | stuck=  49.2
Ep   300/6000 | steps=  295948 | mean_r=  -6524.6 | success=  0.0% | loss=0.0887 | eps=0.476 | beta=0.436 | stuck=  27.8
Ep   325/6000 | steps=  320882 | mean_r=  -7847.2 | success=  4.0% | loss=0.0836 | eps=0.474 | beta=0.439 | stuck=  34.8
Ep   350/6000 | steps=  345771 | mean_r=  -8538.2 | success=  4.0% | loss=0.0826 | eps=0.472 | beta=0.441 | stuck=  38.3
Ep   375/6000 | steps=  370622 | mean_r=  -7498.4 | success=  4.0% | loss=0.0744 | eps=0.470 | beta=0.444 | stuck=  33.1
Ep   400/6000 | steps=  395622 | mean_r= -10791.3 | success=  0.0% | loss=0.0704 | eps=0.468 | beta=0.447 | stuck=  49.1
Ep   425/6000 | steps=  419137 | mean_r=  -7583.0 | success=  8.0% | loss=0.0662 | eps=0.466 | beta=0.450 | stuck=  34.2
Ep   450/6000 | steps=  444137 | mean_r=  -9094.0 | success=  0.0% | loss=0.0646 | eps=0.464 | beta=0.453 | stuck=  40.6
Ep   475/6000 | steps=  468562 | mean_r= -12847.4 | success=  4.0% | loss=0.0639 | eps=0.463 | beta=0.456 | stuck=  59.9
Ep   500/6000 | steps=  493562 | mean_r=  -6007.1 | success=  0.0% | loss=0.0637 | eps=0.461 | beta=0.459 | stuck=  25.2
Ep   525/6000 | steps=  518562 | mean_r=  -6160.8 | success=  0.0% | loss=0.0633 | eps=0.459 | beta=0.462 | stuck=  25.9
Ep   550/6000 | steps=  542992 | mean_r=  -6926.8 | success=  4.0% | loss=0.0693 | eps=0.457 | beta=0.465 | stuck=  30.3
Ep   575/6000 | steps=  567992 | mean_r=  -5606.3 | success=  0.0% | loss=0.0810 | eps=0.455 | beta=0.468 | stuck=  23.2
Ep   600/6000 | steps=  592992 | mean_r=  -9669.2 | success=  0.0% | loss=0.0931 | eps=0.453 | beta=0.471 | stuck=  43.5
Ep   625/6000 | steps=  617992 | mean_r=  -6158.9 | success=  0.0% | loss=0.0949 | eps=0.451 | beta=0.474 | stuck=  26.0
Ep   650/6000 | steps=  642992 | mean_r=  -7835.2 | success=  0.0% | loss=0.0896 | eps=0.449 | beta=0.477 | stuck=  34.3
