PS D:\IITK SEM 4\CS780-OBELIX-main> python train_d3qn_per.py --episodes 10000 --wall_obstacles --resume weights_d3qn_final.pth
Device: cpu
Resumed from weights_d3qn_final.pth

Training D3QN-PER | episodes=10000 | walls=ON | difficulty=3
======================================================================
Ep    25/10000 | steps=   23768 | mean_r= -29179.4 | success= 12.0% | loss=16.0769 | eps=0.997 | beta=0.402 | stuck=  98.2
  ✓ New best (ema_r=-29179.4) → weights_d3qn.pth
Ep    50/10000 | steps=   47476 | mean_r= -36434.8 | success=  8.0% | loss=7.8006 | eps=0.995 | beta=0.404 | stuck= 135.5
Ep    75/10000 | steps=   70623 | mean_r= -32637.1 | success= 12.0% | loss=10.1733 | eps=0.992 | beta=0.405 | stuck= 124.8
Ep   100/10000 | steps=   94780 | mean_r= -38241.4 | success=  4.0% | loss=16.1060 | eps=0.989 | beta=0.407 | stuck= 140.7
Ep   125/10000 | steps=  118167 | mean_r= -29673.4 | success= 12.0% | loss=22.1923 | eps=0.987 | beta=0.409 | stuck= 102.8
Ep   150/10000 | steps=  142458 | mean_r= -32483.0 | success=  4.0% | loss=28.1214 | eps=0.984 | beta=0.411 | stuck= 120.5
Ep   175/10000 | steps=  166944 | mean_r= -26429.8 | success= 12.0% | loss=34.5604 | eps=0.981 | beta=0.413 | stuck=  92.0
Ep   200/10000 | steps=  188697 | mean_r= -20796.6 | success= 24.0% | loss=41.3991 | eps=0.979 | beta=0.414 | stuck=  78.9
Ep   225/10000 | steps=  212313 | mean_r= -31762.4 | success= 16.0% | loss=48.6847 | eps=0.976 | beta=0.416 | stuck= 123.0
Ep   250/10000 | steps=  236959 | mean_r= -29408.7 | success=  8.0% | loss=54.3512 | eps=0.973 | beta=0.418 | stuck= 112.0
Ep   275/10000 | steps=  259211 | mean_r= -33713.8 | success= 16.0% | loss=57.4825 | eps=0.971 | beta=0.419 | stuck= 125.7
Ep   300/10000 | steps=  283397 | mean_r= -35298.7 | success=  8.0% | loss=60.8397 | eps=0.968 | beta=0.421 | stuck= 142.3
Ep   325/10000 | steps=  306556 | mean_r= -27392.9 | success= 12.0% | loss=60.6775 | eps=0.966 | beta=0.423 | stuck=  97.0
Ep   350/10000 | steps=  329110 | mean_r= -23436.7 | success= 20.0% | loss=59.3857 | eps=0.963 | beta=0.425 | stuck=  82.1
Ep   375/10000 | steps=  352284 | mean_r= -28406.2 | success= 20.0% | loss=57.8123 | eps=0.960 | beta=0.426 | stuck= 107.3
Ep   400/10000 | steps=  376931 | mean_r= -25395.4 | success=  8.0% | loss=54.8725 | eps=0.958 | beta=0.428 | stuck=  85.0
  ✓ New best (ema_r=-29114.1) → weights_d3qn.pth
Ep   425/10000 | steps=  399569 | mean_r= -26928.6 | success= 16.0% | loss=52.1075 | eps=0.955 | beta=0.430 | stuck=  95.1
  ✓ New best (ema_r=-28895.5) → weights_d3qn.pth
Ep   450/10000 | steps=  423754 | mean_r= -32085.6 | success=  8.0% | loss=49.8368 | eps=0.952 | beta=0.432 | stuck= 116.4
Ep   475/10000 | steps=  447098 | mean_r= -37335.3 | success= 12.0% | loss=47.1160 | eps=0.950 | beta=0.434 | stuck= 150.4
Ep   500/10000 | steps=  470854 | mean_r= -27555.9 | success= 12.0% | loss=44.0639 | eps=0.947 | beta=0.435 | stuck=  93.4
Ep   525/10000 | steps=  492830 | mean_r= -22631.0 | success= 24.0% | loss=41.1704 | eps=0.945 | beta=0.437 | stuck=  78.2
Ep   550/10000 | steps=  517062 | mean_r= -35007.5 | success=  8.0% | loss=37.8684 | eps=0.942 | beta=0.439 | stuck= 136.4
Ep   575/10000 | steps=  540653 | mean_r= -24858.1 | success= 12.0% | loss=34.7607 | eps=0.939 | beta=0.441 | stuck=  92.1
Ep   600/10000 | steps=  565331 | mean_r= -27850.7 | success=  4.0% | loss=31.9581 | eps=0.936 | beta=0.442 | stuck=  92.4
Ep   625/10000 | steps=  587927 | mean_r= -20398.6 | success= 16.0% | loss=29.5519 | eps=0.934 | beta=0.444 | stuck=  64.2
  ✓ New best (ema_r=-28181.3) → weights_d3qn.pth
Ep   650/10000 | steps=  612380 | mean_r= -27626.6 | success=  4.0% | loss=27.0048 | eps=0.931 | beta=0.446 | stuck=  92.9
  ✓ New best (ema_r=-28125.9) → weights_d3qn.pth
Ep   675/10000 | steps=  635828 | mean_r= -29572.5 | success= 16.0% | loss=24.6841 | eps=0.928 | beta=0.448 | stuck= 118.8
Ep   700/10000 | steps=  659916 | mean_r= -22114.4 | success=  4.0% | loss=22.1451 | eps=0.926 | beta=0.449 | stuck=  69.3
  ✓ New best (ema_r=-27654.9) → weights_d3qn.pth
Ep   725/10000 | steps=  680457 | mean_r= -30754.7 | success= 28.0% | loss=20.1048 | eps=0.923 | beta=0.451 | stuck= 123.3
Ep   750/10000 | steps=  702658 | mean_r= -25714.2 | success= 16.0% | loss=18.3070 | eps=0.921 | beta=0.453 | stuck=  95.3
Ep   775/10000 | steps=  726614 | mean_r= -22993.6 | success= 12.0% | loss=16.3687 | eps=0.918 | beta=0.454 | stuck=  73.1
  ✓ New best (ema_r=-27265.2) → weights_d3qn.pth
Ep   800/10000 | steps=  751614 | mean_r= -25630.3 | success=  0.0% | loss=14.2948 | eps=0.915 | beta=0.456 | stuck=  80.0
  ✓ New best (ema_r=-27101.7) → weights_d3qn.pth
Ep   825/10000 | steps=  776098 | mean_r= -21876.0 | success= 12.0% | loss=12.9168 | eps=0.913 | beta=0.458 | stuck=  63.9
  ✓ New best (ema_r=-26579.1) → weights_d3qn.pth
Ep   850/10000 | steps=  798893 | mean_r= -24759.8 | success= 20.0% | loss=11.4945 | eps=0.910 | beta=0.460 | stuck=  82.8
  ✓ New best (ema_r=-26397.2) → weights_d3qn.pth
Ep   875/10000 | steps=  821236 | mean_r= -23437.5 | success= 20.0% | loss=10.3948 | eps=0.908 | beta=0.462 | stuck=  77.9
  ✓ New best (ema_r=-26101.2) → weights_d3qn.pth
Ep   900/10000 | steps=  845296 | mean_r= -25511.3 | success= 12.0% | loss=9.2496 | eps=0.905 | beta=0.463 | stuck=  81.3
  ✓ New best (ema_r=-26042.3) → weights_d3qn.pth
Ep   925/10000 | steps=  869432 | mean_r= -26655.4 | success= 12.0% | loss=8.2151 | eps=0.902 | beta=0.465 | stuck=  94.2
Ep   950/10000 | steps=  893072 | mean_r= -34659.5 | success=  8.0% | loss=7.1847 | eps=0.900 | beta=0.467 | stuck= 134.9
Ep   975/10000 | steps=  918072 | mean_r= -28569.6 | success=  0.0% | loss=6.3145 | eps=0.897 | beta=0.469 | stuck= 102.5
