Training DQN | episodes=3000 | wall_obstacles=True | difficulty=0
======================================================================
Ep    50/3000 | steps=  50000 | mean_r=-21420.9 | success=  0.0% | loss=145.9000 | eps=0.762
  ✓ New best model saved → weights_dqn.pth
Ep   100/3000 | steps=  99486 | mean_r=-17964.8 | success=  0.0% | loss=187.7403 | eps=0.527
  ✓ New best model saved → weights_dqn.pth
Ep   150/3000 | steps= 148854 | mean_r=-20596.9 | success=  0.0% | loss=171.4002 | eps=0.293
Ep   200/3000 | steps= 198854 | mean_r=-19113.2 | success=  0.0% | loss=138.7351 | eps=0.055
Ep   250/3000 | steps= 248112 | mean_r=-25591.7 | success=  0.0% | loss=88.6799 | eps=0.050
Ep   300/3000 | steps= 297583 | mean_r=-29906.6 | success=  0.0% | loss=74.2824 | eps=0.050
Ep   350/3000 | steps= 347583 | mean_r=-31844.9 | success=  0.0% | loss=77.6099 | eps=0.050
Ep   400/3000 | steps= 397583 | mean_r=-43087.9 | success=  0.0% | loss=102.4683 | eps=0.050
Ep   450/3000 | steps= 447281 | mean_r=-45696.6 | success=  0.0% | loss=111.4585 | eps=0.050
Ep   500/3000 | steps= 496326 | mean_r=-40661.6 | success=  0.0% | loss=127.4432 | eps=0.050
Ep   550/3000 | steps= 544567 | mean_r=-49913.0 | success=  0.0% | loss=133.4708 | eps=0.050
Ep   600/3000 | steps= 594267 | mean_r=-40545.4 | success=  0.0% | loss=123.6732 | eps=0.050
Ep   650/3000 | steps= 643581 | mean_r=-53143.3 | success=  0.0% | loss=119.2443 | eps=0.050
Ep   700/3000 | steps= 693193 | mean_r=-47539.8 | success=  0.0% | loss=139.7064 | eps=0.050
Ep   750/3000 | steps= 741465 | mean_r=-32820.6 | success=  0.0% | loss=114.5548 | eps=0.050
Ep   800/3000 | steps= 790557 | mean_r=-35059.7 | success=  0.0% | loss=104.7118 | eps=0.050
Ep   850/3000 | steps= 838828 | mean_r=-31992.3 | success=  0.0% | loss=100.3203 | eps=0.050
Ep   900/3000 | steps= 888823 | mean_r=-54866.4 | success=  0.0% | loss=116.2765 | eps=0.050
Ep   950/3000 | steps= 937235 | mean_r=-35898.9 | success=  0.0% | loss=130.0372 | eps=0.050
Ep  1000/3000 | steps= 986539 | mean_r=-44551.3 | success=  0.0% | loss=107.3892 | eps=0.050
