PS D:\CS780\CS780-OBELIX-main\CS780-OBELIX-main> python train_dqn.py --resume weights_dqn_final.pth --episodes 3000
Device: cpu
Resumed from weights_dqn_final.pth

Training DQN | episodes=3000 | wall_obstacles=True | difficulty=0
======================================================================
Ep    25/3000 | steps=  24372 | mean_r=-11470.7 | success=  0.0% | loss=68.6387 | eps=0.988
  ✓ New best model saved → weights_dqn.pth
Ep    50/3000 | steps=  49372 | mean_r=-18231.4 | success=  0.0% | loss=60.9629 | eps=0.977
Ep    75/3000 | steps=  74372 | mean_r=-16732.5 | success=  0.0% | loss=35.3553 | eps=0.965
Ep   100/3000 | steps=  98609 | mean_r=-11018.6 | success=  0.0% | loss=22.1995 | eps=0.953
  ✓ New best model saved → weights_dqn.pth
Ep   125/3000 | steps= 123318 | mean_r=-11109.2 | success=  0.0% | loss=14.6993 | eps=0.941
Ep   150/3000 | steps= 146912 | mean_r=-10874.4 | success=  0.0% | loss=9.3268 | eps=0.930
  ✓ New best model saved → weights_dqn.pth
Ep   175/3000 | steps= 171534 | mean_r=-12413.9 | success=  0.0% | loss=5.9408 | eps=0.919
Ep   200/3000 | steps= 194756 | mean_r= -8696.3 | success=  0.0% | loss=4.4906 | eps=0.907
  ✓ New best model saved → weights_dqn.pth
Ep   225/3000 | steps= 218815 | mean_r= -8408.2 | success=  0.0% | loss=3.3044 | eps=0.896
  ✓ New best model saved → weights_dqn.pth
Ep   250/3000 | steps= 240716 | mean_r= -6620.0 | success=  0.0% | loss=2.9969 | eps=0.886
  ✓ New best model saved → weights_dqn.pth
Ep   275/3000 | steps= 264084 | mean_r= -8685.7 | success=  0.0% | loss=3.0300 | eps=0.875
Ep   300/3000 | steps= 287318 | mean_r= -9656.4 | success=  0.0% | loss=5.1796 | eps=0.864
Ep   325/3000 | steps= 311375 | mean_r= -7141.7 | success=  0.0% | loss=16.0880 | eps=0.852
Ep   350/3000 | steps= 333774 | mean_r=-10660.9 | success=  0.0% | loss=50.2674 | eps=0.841
Ep   375/3000 | steps= 354449 | mean_r= -6798.4 | success=  0.0% | loss=150.1401 | eps=0.832
Ep   400/3000 | steps= 376193 | mean_r=-12820.3 | success=  0.0% | loss=430.7036 | eps=0.821
Ep   425/3000 | steps= 395361 | mean_r=-10494.2 | success=  0.0% | loss=890.4786 | eps=0.812
Ep   450/3000 | steps= 414096 | mean_r= -7997.6 | success=  0.0% | loss=1590.2096 | eps=0.803
